Distname;Division;Geometry;Shape_Area;Shape_Leng;district_name;Dist_code;total_quarantine
Bagerhat;Khulna;Polygon;3948887609;451037,3899;Bagerhat;4001;625
Bandarban;Chittagong;Polygon;4595411320;582112,2116;Bandarban;2003;5
Barguna;Barisal;Polygon;1517761079;320744,0438;Barguna;1004;110
Barisal;Barisal;Polygon;2489743346;398321,4679;Barisal;1006;43
Bhola;Barisal;MultiPolygon;3175528151;361181,8172;Bhola;1009;65
Bogra;Rajshahi;Polygon;2910521603;453629,2229;Bogra;5010;429
Brahmanbaria;Chittagong;Polygon;1921039656;378557,674;Brahmanbaria;2012;357
Chandpur;Chittagong;Polygon;1697921361;264915,7191;Chandpur;2013;83
Chittagong;Chittagong;MultiPolygon;4983729834;686858,8153;Chittagong;2015;766
Chuadanga;Khulna;Polygon;1163100963;247973,5901;Chuadanga;4018;161
Comilla;Chittagong;Polygon;3083793736;405962,3034;Comilla;2019;239
Cox's Bazar;Chittagong;MultiPolygon;2264310411;575604,0871;Cox's Bazar;2022;87
Dhaka;Dhaka;Polygon;1477632599;339659,0789;Dhaka;3026;385
Dinajpur;Rangpur;Polygon;3459851932;530522,0847;Dinajpur;5527;60
Faridpur;Dhaka;Polygon;2042046953;355357,0741;Faridpur;3029;458
Feni;Chittagong;Polygon;933544613,2;264471,3483;Feni;2030;376
Gaibandha;Rangpur;Polygon;2164956851;339892,0979;Gaibandha;5532;53
Gazipur;Dhaka;Polygon;1814145303;259316,4239;Gazipur;3033;105
Gopalganj;Dhaka;Polygon;1474727279;288300,0526;Gopalganj;3035;115
Habiganj;Sylhet;Polygon;2587191890;441192,6328;Habiganj;6036;170
Jamalpur;Mymensingh;Polygon;2063798381;377524,8181;Jamalpur;4539;47
Jessore;Khulna;Polygon;2583118572;458150,3342;Jessore;4041;536
Jhalokati;Barisal;Polygon;737674805,3;214336,7613;Jhalokati;1042;2
Jhenaidah;Khulna;Polygon;1955279928;388343,6738;Jhenaidah;4044;163
Joypurhat;Rajshahi;Polygon;959329703,5;232320,2919;Joypurhat;5038;44
Khagrachhari;Chittagong;Polygon;2889879659;381926,0786;Khagrachhari;2046;101
Khulna;Khulna;Polygon;4203955840;520371,2893;Khulna;4047;432
Kishoreganj;Dhaka;Polygon;2563421144;360723,4639;Kishoreganj;3048;314
Kurigram;Rangpur;MultiPolygon;2274371396;537516,2481;Kurigram;5549;150
Kushtia;Khulna;Polygon;1613351891;329480,0031;Kushtia;4050;50
Lakshmipur;Chittagong;Polygon;1557541038;289634,8917;Lakshmipur;2051;568
Lalmonirhat;Rangpur;MultiPolygon;1275392178;570250,0984;Lalmonirhat;5552;56
Madaripur;Dhaka;Polygon;1134356879;268224,6158;Madaripur;3054;287
Magura;Khulna;Polygon;1047996785;206578,325;Magura;4055;96
Manikganj;Dhaka;Polygon;1373161902;263313,6266;Manikganj;3056;300
Maulvibazar;Sylhet;Polygon;2680409566;431164,9259;Maulvibazar;6058;245
Meherpur;Khulna;Polygon;721136128;192401,2233;Meherpur;4057;97
Munshiganj;Dhaka;Polygon;931963395,1;186948,4143;Munshiganj;3059;297
Mymensingh;Mymensingh;Polygon;4343398622;546877,6095;Mymensingh;4561;357
Naogaon;Rajshahi;Polygon;3443735134;536254,5351;Naogaon;5064;966
Narail;Khulna;Polygon;994978020,6;228370,9314;Narail;4065;172
Narayanganj;Dhaka;Polygon;701916976;187129,3253;Narayanganj;3067;102
Narsingdi;Dhaka;Polygon;1167016835;226182,097;Narsingdi;3068;144
Natore;Rajshahi;Polygon;1903221126;366331,5179;Natore;5069;59
Nawabganj;Rajshahi;Polygon;1686636955;351013,7585;Nawabganj;5070;208
Netrakona;Mymensingh;Polygon;2803663887;461866,019;Netrakona;4572;74
Nilphamari;Rangpur;Polygon;1587729928;269356,0053;Nilphamari;5573;104
Noakhali;Chittagong;MultiPolygon;3149776940;546332,3903;Noakhali;2075;675
Pabna;Rajshahi;Polygon;2387690922;325969,7543;Pabna;5076;393
Panchagarh;Rangpur;Polygon;1399910303;369394,2364;Panchagarh;5577;187
Patuakhali;Barisal;MultiPolygon;3159333065;414696,6161;Patuakhali;1078;13
Pirojpur;Barisal;Polygon;1271704226;320652,5607;Pirojpur;1079;72
Rajbari;Dhaka;Polygon;1138367882;217188,8852;Rajbari;3082;264
Rajshahi;Rajshahi;Polygon;2438105403;370108,2317;Rajshahi;5081;149
Rangamati;Chittagong;Polygon;5758928196;697770,12;Rangamati;2084;82
Rangpur;Rangpur;Polygon;2342422246;374181,4283;Rangpur;5585;20
Satkhira;Khulna;Polygon;3908541712;516198,7617;Satkhira;4087;394
Shariatpur;Dhaka;Polygon;1250879618;196540,2108;Shariatpur;3086;236
Sherpur;Mymensingh;Polygon;1325673386;197577,9389;Sherpur;4589;59
Sirajganj;Dhaka;Polygon;2492378679;381617,4937;Sirajganj;5088;109
Sunamganj;Sylhet;Polygon;3690865158;495899,2573;Sunamganj;6090;128
Sylhet;Sylhet;Polygon;3422475421;446465,8566;Sylhet;6091;502
Tangail;Dhaka;Polygon;3363640728;387810,0164;Tangail;3093;457
Thakurgaon;Rangpur;Polygon;1813888585;344660,6238;Thakurgaon;5594;29
